presbytery,for,against,item
Korean Southern,,,Item 10
Korean Southwest,,,Item 10
Korean Southwest OC,,,Item 10
Lowcountry Presbytery,34.0,0.0,Item 10
Metro Atlanta,,,Item 10
Metropolitan New York,32.0,0.0,Item 10
Mississippi Valley,84.0,0.0,Item 10
Missouri,,,Item 10
Nashville,72.0,0.0,Item 10
New Jersey,21.0,0.0,Item 10
New River,1.0,0.0,Item 10
New York State,,,Item 10
North Florida,25.0,1.0,Item 10
North Texas,,,Item 10
Northern California,,,Item 10
Northern Illinois,29.0,0.0,Item 10
Northern New England,,,Item 10
Northwest Georgia,38.0,0.0,Item 10
Ohio,17.0,0.0,Item 10
Ohio Valley,,,Item 10
Pacific,,,Item 10
Pacific Northwest,46.0,0.0,Item 10
Palmetto,67.0,0.0,Item 10
Pee Dee,38.0,1.0,Item 10
Philadelphia,,,Item 10
Philadelphia Metro West,,,Item 10
Piedmont Triad,37.0,0.0,Item 10
Pittsburgh,,,Item 10
Platte Valley,22.0,0.0,Item 10
Potomac,,,Item 10
Providence,51.0,0.0,Item 10
Rio Grande,,,Item 10
Rocky Mountain,,,Item 10
Savannah River,40.0,0.0,Item 10
Siouxlands,,,Item 10
South Coast,,,Item 10
South Florida,,,Item 10
South Texas,50.0,1.0,Item 10
Southeast Alabama,42.0,0.0,Item 10
Southern Louisiana,19.0,0.0,Item 10
Southern New England,,,Item 10
Southwest Florida,57.0,0.0,Item 10
Suncoast Florida,,,Item 10
Susquehanna Valley,45.0,8.0,Item 10
Tennessee Valley,1.0,0.0,Item 10
Tidewater,,,Item 10
Warrior,,,Item 10
West Hudson,1.0,0.0,Item 10
Westminster,29.0,0.0,Item 10
Wisconsin,31.0,1.0,Item 10
Arizona,31.0,0.0,Item 11
Ascension,35.0,0.0,Item 11
Blue Ridge,,,Item 11
Calvary,,,Item 11
Canada West,1.0,0.0,Item 11
Catawba Valley,,,Item 11
Central Carolina,6.0,45.0,Item 11
Central Florida,61.0,0.0,Item 11
Central Georgia,,,Item 11
Central Indiana,,,Item 11
Chesapeake,,,Item 11
Chicago Metro,43.0,0.0,Item 11
Columbus Metro,,,Item 11
Covenant,64.0,11.0,Item 11
Eastern Canada,,,Item 11
Eastern Carolina,,,Item 11
Eastern Pennsylvania,27.0,0.0,Item 11
Evangel,,,Item 11
Fellowship,,,Item 11
Georgia Foothills,,,Item 11
Grace,40.0,0.0,Item 11
Great Lakes,46.0,1.0,Item 11
Gulf Coast,37.0,0.0,Item 11
Gulfstream,35.0,0.0,Item 11
Heartland,,,Item 11
Heritage,,,Item 11
Highlands,48.0,2.0,Item 11
Hills and Plains,,,Item 11
Houston Metro,50.0,0.0,Item 11
Illiana,16.0,0.0,Item 11
Iowa,,,Item 11
James River,77.0,0.0,Item 11
Korean Capital,,,Item 11
Korean Central,,,Item 11
Korean Eastern,,,Item 11
Korean Northeastern,,,Item 11
Korean Northwest,,,Item 11
Korean Southeastern,,,Item 11
Korean Southern,,,Item 11
Korean Southwest,,,Item 11
Korean Southwest OC,,,Item 11
Lowcountry Presbytery,34.0,0.0,Item 11
Metro Atlanta,,,Item 11
Metropolitan New York,32.0,0.0,Item 11
Mississippi Valley,85.0,0.0,Item 11
Missouri,,,Item 11
Nashville,,,Item 11
New Jersey,21.0,0.0,Item 11
New River,1.0,0.0,Item 11
New York State,,,Item 11
North Florida,24.0,0.0,Item 11
North Texas,,,Item 11
Northern California,,,Item 11
Northern Illinois,29.0,0.0,Item 11
Northern New England,,,Item 11
Northwest Georgia,33.0,2.0,Item 11
Ohio,14.0,0.0,Item 11
Ohio Valley,,,Item 11
Pacific,,,Item 11
Pacific Northwest,40.0,4.0,Item 11
Palmetto,71.0,0.0,Item 11
Pee Dee,35.0,2.0,Item 11
Philadelphia,,,Item 11
Philadelphia Metro West,,,Item 11
Piedmont Triad,40.0,0.0,Item 11
Pittsburgh,,,Item 11
Platte Valley,7.0,13.0,Item 11
Potomac,,,Item 11
Providence,51.0,0.0,Item 11
Rio Grande,,,Item 11
Rocky Mountain,,,Item 11
Savannah River,38.0,1.0,Item 11
Siouxlands,,,Item 11
South Coast,,,Item 11
South Florida,,,Item 11
South Texas,50.0,1.0,Item 11
Southeast Alabama,42.0,0.0,Item 11
Southern Louisiana,19.0,0.0,Item 11
Southern New England,,,Item 11
Southwest Florida,60.0,0.0,Item 11
Suncoast Florida,,,Item 11
Susquehanna Valley,26.0,21.0,Item 11
Tennessee Valley,1.0,0.0,Item 11
Tidewater,,,Item 11
Warrior,,,Item 11
West Hudson,1.0,0.0,Item 11
Westminster,29.0,1.0,Item 11
Wisconsin,31.0,1.0,Item 11
Arizona,31.0,0.0,Item 12
Ascension,35.0,0.0,Item 12
Blue Ridge,,,Item 12
Calvary,,,Item 12
Canada West,1.0,0.0,Item 12
Catawba Valley,,,Item 12
Central Carolina,46.0,0.0,Item 12
Central Florida,61.0,0.0,Item 12
Central Georgia,,,Item 12
Central Indiana,,,Item 12
Chesapeake,,,Item 12
Chicago Metro,43.0,0.0,Item 12
Columbus Metro,,,Item 12
Covenant,78.0,1.0,Item 12
Eastern Canada,,,Item 12
Eastern Carolina,,,Item 12
Eastern Pennsylvania,26.0,0.0,Item 12
Evangel,,,Item 12
Fellowship,,,Item 12
Georgia Foothills,,,Item 12
Grace,45.0,0.0,Item 12
Great Lakes,46.0,1.0,Item 12
Gulf Coast,37.0,0.0,Item 12
Gulfstream,35.0,0.0,Item 12
Heartland,,,Item 12
Heritage,,,Item 12
Highlands,40.0,10.0,Item 12
Hills and Plains,,,Item 12
Houston Metro,50.0,0.0,Item 12
Illiana,16.0,0.0,Item 12
Iowa,,,Item 12
James River,77.0,0.0,Item 12
Korean Capital,,,Item 12
Korean Central,,,Item 12
Korean Eastern,,,Item 12
Korean Northeastern,,,Item 12
Korean Northwest,,,Item 12
Korean Southeastern,,,Item 12
Korean Southern,,,Item 12
Korean Southwest,,,Item 12
Korean Southwest OC,,,Item 12
Lowcountry Presbytery,34.0,0.0,Item 12
Metro Atlanta,,,Item 12
Metropolitan New York,32.0,0.0,Item 12
Mississippi Valley,86.0,0.0,Item 12
Missouri,,,Item 12
Nashville,,,Item 12
New Jersey,21.0,0.0,Item 12
New River,1.0,0.0,Item 12
New York State,,,Item 12
North Florida,25.0,0.0,Item 12
North Texas,,,Item 12
Northern California,,,Item 12
Northern Illinois,29.0,0.0,Item 12
Northern New England,,,Item 12
Northwest Georgia,38.0,1.0,Item 12
Ohio,2.0,16.0,Item 12
Ohio Valley,,,Item 12
Pacific,,,Item 12
Pacific Northwest,46.0,0.0,Item 12
Palmetto,70.0,0.0,Item 12
Pee Dee,37.0,0.0,Item 12
Philadelphia,,,Item 12
Philadelphia Metro West,,,Item 12
Piedmont Triad,40.0,0.0,Item 12
Pittsburgh,,,Item 12
Platte Valley,14.0,3.0,Item 12
Potomac,51.0,0.0,Item 12
Providence,51.0,0.0,Item 12
Rio Grande,,,Item 12
Rocky Mountain,,,Item 12
Savannah River,36.0,2.0,Item 12
Siouxlands,,,Item 12
South Coast,,,Item 12
South Florida,,,Item 12
South Texas,48.0,5.0,Item 12
Southeast Alabama,42.0,0.0,Item 12
Southern Louisiana,19.0,0.0,Item 12
Southern New England,,,Item 12
Southwest Florida,21.0,27.0,Item 12
Suncoast Florida,,,Item 12
Susquehanna Valley,46.0,5.0,Item 12
Tennessee Valley,1.0,0.0,Item 12
Tidewater,,,Item 12
Warrior,,,Item 12
West Hudson,1.0,0.0,Item 12
Westminster,30.0,0.0,Item 12
Wisconsin,31.0,1.0,Item 12
